# B               E         <|Sz|>           <Sx>
0.2   -0.9130272098   0.9918092628   0.1206282142
0.4   -0.9495520195   0.9644452867   0.2458275301
0.6   -1.0121647243   0.9039766212   0.3843668198
0.8   -1.1068251613   0.7486950141   0.5689189895
1.0   -1.2381624579   0.5611187593   0.7321640953
1.2   -1.3947386417   0.4536627964   0.8240397795
1.4   -1.5651099080   0.3982907685   0.8751459491
1.6   -1.7435006429   0.3662147180   0.9064409370
1.8   -1.9269875596   0.3454862867   0.9271109778
2.0   -2.1139326947   0.3309931811   0.9415326822
